input_element,input_weakness,option_1,option_2,option_3,option_4,option_5,ideal_choice
Lightning,Fighting,Psychic,Grass,Psychic,Lightning,Psychic,Fighting
Fire,Water,Water,Metal,Psychic,Darkness,Darkness,Water
Colorless,Fighting,Metal,Grass,Fire,Psychic,Colorless,Fighting
Colorless,Fighting,Colorless,Fire,Colorless,Water,Darkness,Fighting
Fire,Water,Psychic,Lightning,Colorless,Colorless,Fighting,Water
Darkness,Fighting,Fighting,Metal,Fighting,Grass,Grass,Fighting
Fire,Water,Metal,Fighting,Fighting,Colorless,Lightning,Water
Colorless,Fighting,Colorless,Lightning,Psychic,Metal,Metal,Fighting
Water,Lightning,Lightning,Water,Grass,Psychic,Fire,Lightning
Lightning,Fighting,Metal,Metal,Water,Grass,Grass,Fighting
Metal,Fire,Colorless,Metal,Psychic,Fire,Darkness,Fire
Darkness,Fighting,Grass,Colorless,Fire,Metal,Grass,Fighting
Fighting,Psychic,Metal,Metal,Lightning,Water,Metal,Psychic
Water,Lightning,Psychic,Psychic,Metal,Darkness,Psychic,Lightning
Water,Lightning,Darkness,Fighting,Metal,Psychic,Fire,Lightning
Water,Lightning,Grass,Grass,Water,Lightning,Metal,Lightning
Water,Lightning,Colorless,Water,Fire,Fighting,Fighting,Lightning
Colorless,Fighting,Psychic,Water,Psychic,Lightning,Water,Fighting
Fire,Water,Metal,Metal,Darkness,Fighting,Darkness,Water
Darkness,Fighting,Fighting,Darkness,Lightning,Fire,Fighting,Fighting
Colorless,Lightning,Grass,Colorless,Colorless,Water,Metal,Lightning
Grass,Fire,Psychic,Fighting,Metal,Colorless,Fighting,Fire
Grass,Fire,Metal,Colorless,Metal,Grass,Fighting,Fire
Psychic,Darkness,Fire,Water,Fire,Metal,Darkness,Darkness
Fighting,Grass,Metal,Fighting,Colorless,Colorless,Fire,Grass
Colorless,Fighting,Fire,Psychic,Darkness,Grass,Metal,Fighting
Grass,Fire,Lightning,Fighting,Fire,Fighting,Metal,Fire
Water,Lightning,Metal,Darkness,Psychic,Colorless,Darkness,Lightning
Water,Lightning,Psychic,Lightning,Colorless,Darkness,Lightning,Lightning
Lightning,Fighting,Water,Grass,Water,Fighting,Fighting,Fighting
Darkness,Fighting,Darkness,Grass,Fire,Water,Lightning,Fighting
Psychic,Darkness,Lightning,Grass,Water,Fighting,Water,Darkness
Fire,Water,Colorless,Darkness,Fighting,Metal,Grass,Water
Water,Lightning,Darkness,Darkness,Psychic,Fighting,Psychic,Lightning
Fighting,Psychic,Darkness,Colorless,Fire,Lightning,Colorless,Psychic
Grass,Fire,Psychic,Fire,Psychic,Colorless,Psychic,Fire
Psychic,Darkness,Metal,Fire,Water,Colorless,Grass,Darkness
Fire,Lightning,Psychic,Psychic,Lightning,Colorless,Colorless,Lightning
Lightning,Fighting,Colorless,Fighting,Colorless,Fire,Fighting,Fighting
Grass,Fire,Lightning,Colorless,Colorless,Fighting,Fire,Fire
Darkness,Fighting,Fighting,Fire,Fighting,Fighting,Colorless,Fighting
Colorless,Fighting,Psychic,Water,Darkness,Fire,Colorless,Fighting
Water,Lightning,Fighting,Grass,Water,Water,Darkness,Lightning
Fire,Water,Metal,Fire,Grass,Darkness,Colorless,Water
Colorless,Fighting,Darkness,Lightning,Metal,Fire,Lightning,Fighting
Grass,Fire,Psychic,Metal,Lightning,Grass,Water,Fire
Water,Lightning,Colorless,Metal,Psychic,Colorless,Grass,Lightning
Lightning,Lightning,Grass,Water,Fighting,Darkness,Darkness,Lightning
Psychic,Darkness,Fighting,Psychic,Grass,Darkness,Fighting,Darkness
Water,Lightning,Grass,Grass,Grass,Colorless,Darkness,Lightning
Fire,Water,Grass,Water,Darkness,Lightning,Darkness,Water
Water,Metal,Colorless,Metal,Fire,Water,Water,Metal
Fire,Water,Fighting,Fighting,Fire,Fire,Lightning,Water
Water,Lightning,Water,Colorless,Colorless,Fighting,Psychic,Lightning
Psychic,Darkness,Grass,Psychic,Fire,Lightning,Metal,Darkness
Fire,Water,Grass,Lightning,Psychic,Water,Colorless,Water
Water,Lightning,Water,Fighting,Psychic,Fire,Psychic,Lightning
Lightning,Fighting,Grass,Lightning,Darkness,Darkness,Lightning,Fighting
Psychic,Darkness,Darkness,Darkness,Darkness,Fighting,Fighting,Darkness
Psychic,Darkness,Lightning,Fighting,Colorless,Fire,Metal,Darkness
Fire,Water,Fighting,Psychic,Fire,Metal,Grass,Water
Psychic,Darkness,Fire,Fire,Colorless,Darkness,Metal,Darkness
Fighting,Grass,Fighting,Darkness,Fighting,Metal,Grass,Grass
Lightning,Fighting,Lightning,Psychic,Fire,Fire,Colorless,Fighting
Fire,Lightning,Metal,Darkness,Colorless,Lightning,Lightning,Lightning
Lightning,Fighting,Lightning,Colorless,Metal,Fire,Lightning,Fighting
Darkness,Fighting,Psychic,Lightning,Lightning,Grass,Metal,Fighting
Fighting,Grass,Psychic,Darkness,Darkness,Metal,Colorless,Grass
Colorless,Fighting,Grass,Grass,Darkness,Metal,Water,Fighting
Lightning,Fighting,Darkness,Darkness,Metal,Darkness,Water,Fighting
Lightning,Fighting,Fighting,Water,Fire,Colorless,Psychic,Fighting
Water,Lightning,Darkness,Grass,Metal,Fighting,Darkness,Lightning
Lightning,Lightning,Darkness,Water,Water,Metal,Lightning,Lightning
Fire,Water,Darkness,Colorless,Darkness,Darkness,Psychic,Water
Water,Lightning,Darkness,Fighting,Darkness,Lightning,Psychic,Lightning
Colorless,Fighting,Darkness,Colorless,Water,Colorless,Colorless,Fighting
Water,Lightning,Metal,Psychic,Colorless,Metal,Colorless,Lightning
Lightning,Fighting,Metal,Water,Metal,Metal,Water,Fighting
Water,Lightning,Metal,Darkness,Grass,Fire,Fighting,Lightning
Fighting,Psychic,Metal,Fighting,Lightning,Grass,Fighting,Psychic
Water,Lightning,Lightning,Psychic,Fighting,Water,Fire,Lightning
Fighting,Grass,Colorless,Psychic,Fighting,Metal,Psychic,Grass
Colorless,Fighting,Lightning,Psychic,Psychic,Darkness,Fighting,Fighting
Colorless,Fighting,Metal,Psychic,Fire,Grass,Metal,Fighting
Colorless,Fighting,Fighting,Psychic,Fire,Grass,Colorless,Fighting
Psychic,Darkness,Darkness,Darkness,Fire,Grass,Psychic,Darkness
Psychic,Darkness,Colorless,Colorless,Fighting,Darkness,Lightning,Darkness
Fire,Water,Grass,Fire,Darkness,Fighting,Fire,Water
Grass,Fire,Darkness,Grass,Fighting,Fighting,Water,Fire
Water,Metal,Water,Colorless,Fire,Psychic,Fire,Metal
Water,Lightning,Colorless,Grass,Grass,Fighting,Water,Lightning
Fighting,Grass,Fire,Water,Lightning,Darkness,Fighting,Grass
Fighting,Grass,Water,Water,Psychic,Fire,Lightning,Grass
Grass,Fire,Lightning,Lightning,Lightning,Metal,Lightning,Fire
Colorless,Lightning,Darkness,Fire,Grass,Colorless,Grass,Lightning
Colorless,Fighting,Fire,Fire,Colorless,Psychic,Lightning,Fighting
Colorless,Lightning,Grass,Grass,Fighting,Darkness,Fighting,Lightning
Psychic,Darkness,Lightning,Water,Grass,Colorless,Fire,Darkness
Water,Lightning,Fighting,Lightning,Grass,Fighting,Grass,Lightning
Colorless,Fighting,Psychic,Fire,Psychic,Water,Psychic,Fighting
Colorless,Fighting,Psychic,Metal,Metal,Grass,Grass,Fighting
Colorless,Fighting,Grass,Psychic,Lightning,Fire,Fighting,Fighting
Darkness,Fighting,Metal,Psychic,Fire,Fighting,Lightning,Fighting
Fighting,Psychic,Fire,Darkness,Water,Lightning,Fighting,Psychic
Lightning,Fighting,Metal,Darkness,Lightning,Grass,Metal,Fighting
Grass,Fire,Grass,Water,Darkness,Fighting,Darkness,Fire
Fire,Water,Fighting,Water,Darkness,Fire,Fighting,Water
Colorless,Fighting,Lightning,Colorless,Darkness,Grass,Water,Fighting
Psychic,Darkness,Lightning,Fighting,Psychic,Lightning,Psychic,Darkness
Psychic,Darkness,Colorless,Lightning,Fighting,Fire,Grass,Darkness
Colorless,Fighting,Colorless,Lightning,Darkness,Psychic,Fire,Fighting
Grass,Fire,Fighting,Fighting,Lightning,Psychic,Fire,Fire
Grass,Fire,Lightning,Fighting,Fighting,Fighting,Colorless,Fire
Metal,Fire,Darkness,Water,Psychic,Grass,Fighting,Fire
Colorless,Fighting,Colorless,Fighting,Colorless,Grass,Metal,Fighting
Darkness,Fighting,Water,Colorless,Fighting,Grass,Colorless,Fighting
Fighting,Grass,Lightning,Psychic,Lightning,Darkness,Grass,Grass
Fire,Water,Colorless,Lightning,Grass,Darkness,Colorless,Water
Water,Lightning,Grass,Colorless,Fire,Grass,Grass,Lightning
Fighting,Grass,Metal,Lightning,Fighting,Lightning,Psychic,Grass
Water,Lightning,Psychic,Colorless,Fighting,Darkness,Darkness,Lightning
Fighting,Grass,Fighting,Fighting,Darkness,Water,Metal,Grass
Fire,Water,Water,Fire,Grass,Grass,Fire,Water
Grass,Fire,Metal,Metal,Fighting,Colorless,Colorless,Fire
Water,Lightning,Darkness,Fighting,Metal,Psychic,Fighting,Lightning
Colorless,Lightning,Fire,Darkness,Darkness,Fighting,Colorless,Lightning
Colorless,Fighting,Darkness,Darkness,Fighting,Grass,Fighting,Fighting
Fighting,Grass,Psychic,Fire,Colorless,Water,Fighting,Grass
Grass,Fire,Colorless,Darkness,Colorless,Grass,Lightning,Fire
Fighting,Grass,Colorless,Metal,Water,Fighting,Colorless,Grass
Water,Lightning,Grass,Colorless,Fighting,Fighting,Fighting,Lightning
Psychic,Metal,Fighting,Darkness,Grass,Fire,Metal,Metal
Grass,Fire,Water,Fire,Metal,Water,Grass,Fire
Metal,Fire,Water,Fighting,Fighting,Darkness,Metal,Fire
Fighting,Grass,Water,Metal,Psychic,Metal,Grass,Grass
Colorless,Fighting,Colorless,Grass,Metal,Water,Colorless,Fighting
Water,Lightning,Psychic,Psychic,Water,Psychic,Metal,Lightning
Fighting,Grass,Water,Darkness,Water,Lightning,Lightning,Grass
Colorless,Lightning,Fighting,Lightning,Metal,Fighting,Colorless,Lightning
Lightning,Lightning,Water,Psychic,Psychic,Fighting,Colorless,Lightning
Fighting,Grass,Fire,Water,Darkness,Darkness,Fighting,Grass
Water,Lightning,Grass,Fire,Metal,Fire,Psychic,Lightning
Colorless,Fighting,Fighting,Water,Lightning,Metal,Psychic,Fighting
Colorless,Fighting,Fire,Grass,Psychic,Grass,Colorless,Fighting
Darkness,Fighting,Fighting,Colorless,Metal,Fire,Water,Fighting
Psychic,Darkness,Grass,Darkness,Water,Lightning,Lightning,Darkness
Colorless,Fighting,Lightning,Metal,Fighting,Fire,Fire,Fighting
Colorless,Fighting,Colorless,Darkness,Darkness,Metal,Psychic,Fighting
Colorless,Fighting,Colorless,Colorless,Fire,Fire,Lightning,Fighting
Lightning,Lightning,Fire,Fighting,Fire,Grass,Water,Lightning
Psychic,Darkness,Fire,Psychic,Fire,Colorless,Water,Darkness
Psychic,Darkness,Colorless,Darkness,Darkness,Lightning,Lightning,Darkness
Colorless,Fighting,Lightning,Grass,Psychic,Grass,Psychic,Fighting
Colorless,Fighting,Darkness,Colorless,Fire,Colorless,Darkness,Fighting
Fire,Water,Fire,Fighting,Colorless,Colorless,Water,Water
Metal,Fire,Psychic,Grass,Water,Colorless,Fire,Fire
Psychic,Darkness,Lightning,Water,Water,Lightning,Metal,Darkness
Grass,Fire,Colorless,Fighting,Colorless,Psychic,Lightning,Fire
Fire,Water,Darkness,Fire,Darkness,Psychic,Fire,Water
Psychic,Darkness,Psychic,Metal,Darkness,Fire,Metal,Darkness
Lightning,Fighting,Fighting,Darkness,Fighting,Darkness,Metal,Fighting
Psychic,Darkness,Grass,Metal,Fire,Psychic,Colorless,Darkness
Fighting,Grass,Grass,Fire,Lightning,Grass,Lightning,Grass
Water,Lightning,Fire,Water,Darkness,Grass,Water,Lightning
Psychic,Darkness,Darkness,Grass,Psychic,Colorless,Lightning,Darkness
Fire,Water,Grass,Darkness,Fighting,Colorless,Darkness,Water
Metal,Fire,Lightning,Darkness,Grass,Water,Lightning,Fire
Fire,Water,Lightning,Grass,Grass,Water,Water,Water
Lightning,Fighting,Colorless,Lightning,Darkness,Darkness,Lightning,Fighting
Fire,Water,Metal,Grass,Fire,Fighting,Colorless,Water
Water,Metal,Grass,Colorless,Fire,Metal,Lightning,Metal
Grass,Fire,Fighting,Water,Darkness,Psychic,Grass,Fire
Lightning,Lightning,Metal,Fighting,Darkness,Grass,Metal,Lightning
Psychic,Darkness,Lightning,Fighting,Water,Psychic,Darkness,Darkness
Colorless,Fighting,Water,Grass,Darkness,Water,Lightning,Fighting
Colorless,Fighting,Lightning,Lightning,Grass,Water,Grass,Fighting
Lightning,Fighting,Fighting,Water,Fire,Fire,Grass,Fighting
Colorless,Fighting,Water,Water,Psychic,Darkness,Colorless,Fighting
Fighting,Grass,Darkness,Psychic,Colorless,Fire,Grass,Grass
Water,Lightning,Fire,Psychic,Fire,Metal,Fire,Lightning
Colorless,Fighting,Fighting,Grass,Lightning,Grass,Darkness,Fighting
Psychic,Darkness,Lightning,Lightning,Psychic,Grass,Fire,Darkness
Grass,Fire,Psychic,Darkness,Grass,Grass,Psychic,Fire
Colorless,Fighting,Water,Lightning,Water,Fighting,Fighting,Fighting
Grass,Fire,Metal,Lightning,Fire,Fire,Fire,Fire
Metal,Fire,Fire,Fighting,Lightning,Water,Psychic,Fire
Colorless,Fighting,Water,Fighting,Fighting,Psychic,Colorless,Fighting
Lightning,Fighting,Lightning,Psychic,Fire,Darkness,Psychic,Fighting
Psychic,Darkness,Psychic,Darkness,Colorless,Darkness,Metal,Darkness
Water,Lightning,Lightning,Colorless,Metal,Darkness,Metal,Lightning
Colorless,Fighting,Psychic,Fighting,Psychic,Darkness,Lightning,Fighting
Metal,Fire,Colorless,Fire,Lightning,Water,Lightning,Fire
Fighting,Grass,Metal,Grass,Grass,Water,Grass,Grass
Psychic,Darkness,Water,Water,Darkness,Darkness,Colorless,Darkness
Water,Metal,Water,Psychic,Fighting,Fighting,Colorless,Metal
Fighting,Psychic,Lightning,Fire,Fire,Fighting,Grass,Psychic
Colorless,Fighting,Lightning,Darkness,Fire,Darkness,Metal,Fighting
Colorless,Fighting,Grass,Psychic,Water,Water,Lightning,Fighting
Grass,Fire,Fire,Psychic,Fire,Psychic,Fighting,Fire
Fire,Water,Water,Psychic,Fire,Colorless,Psychic,Water
Water,Lightning,Water,Colorless,Lightning,Water,Lightning,Lightning
Fire,Water,Lightning,Metal,Darkness,Grass,Lightning,Water
Colorless,Fighting,Lightning,Water,Fire,Fire,Psychic,Fighting
Fighting,Grass,Lightning,Metal,Water,Water,Water,Grass
Grass,Fire,Fire,Colorless,Fire,Psychic,Colorless,Fire
Grass,Fire,Fire,Darkness,Psychic,Psychic,Grass,Fire
Grass,Fire,Lightning,Lightning,Fire,Colorless,Grass,Fire
Water,Lightning,Water,Psychic,Lightning,Colorless,Water,Lightning
Fire,Lightning,Lightning,Darkness,Fire,Lightning,Colorless,Lightning
Fighting,Psychic,Lightning,Lightning,Lightning,Colorless,Colorless,Psychic
Fire,Lightning,Fighting,Fighting,Fighting,Grass,Fire,Lightning
Colorless,Fighting,Fighting,Colorless,Darkness,Darkness,Metal,Fighting
Psychic,Darkness,Lightning,Water,Colorless,Fire,Darkness,Darkness
Colorless,Fighting,Fire,Fighting,Fire,Grass,Colorless,Fighting
Colorless,Lightning,Fire,Lightning,Water,Metal,Lightning,Lightning
Psychic,Darkness,Darkness,Grass,Fire,Fire,Water,Darkness
Psychic,Darkness,Psychic,Fire,Darkness,Darkness,Water,Darkness
Fighting,Psychic,Colorless,Metal,Colorless,Metal,Metal,Psychic
Lightning,Fighting,Colorless,Water,Metal,Lightning,Grass,Fighting
Lightning,Fighting,Metal,Psychic,Water,Water,Fire,Fighting
Darkness,Fighting,Colorless,Metal,Metal,Psychic,Fire,Fighting
Fire,Lightning,Grass,Water,Grass,Metal,Grass,Lightning
Fighting,Grass,Fighting,Psychic,Psychic,Fighting,Water,Grass
Grass,Fire,Darkness,Psychic,Fire,Darkness,Colorless,Fire
Fire,Water,Grass,Lightning,Grass,Metal,Fire,Water
Lightning,Fighting,Fire,Grass,Fighting,Water,Grass,Fighting
Lightning,Fighting,Water,Water,Water,Grass,Colorless,Fighting
Water,Lightning,Fire,Darkness,Darkness,Fighting,Colorless,Lightning
Fire,Lightning,Darkness,Fighting,Lightning,Psychic,Psychic,Lightning
Water,Lightning,Water,Lightning,Fire,Grass,Psychic,Lightning
Fighting,Psychic,Lightning,Metal,Grass,Psychic,Metal,Psychic
Darkness,Fighting,Grass,Fighting,Lightning,Fire,Colorless,Fighting
Colorless,Fighting,Fire,Grass,Colorless,Psychic,Colorless,Fighting
Grass,Fire,Darkness,Metal,Psychic,Water,Water,Fire
Fire,Water,Metal,Fighting,Lightning,Grass,Psychic,Water
Colorless,Fighting,Grass,Colorless,Colorless,Colorless,Fighting,Fighting
Fire,Lightning,Lightning,Metal,Lightning,Colorless,Grass,Lightning
Lightning,Fighting,Fighting,Colorless,Psychic,Darkness,Psychic,Fighting
Darkness,Fighting,Water,Psychic,Metal,Psychic,Water,Fighting
Psychic,Darkness,Fighting,Darkness,Fire,Fire,Lightning,Darkness
Water,Lightning,Grass,Water,Fire,Fire,Fighting,Lightning
Lightning,Fighting,Metal,Grass,Fire,Darkness,Fighting,Fighting
Psychic,Darkness,Fighting,Colorless,Colorless,Colorless,Colorless,Darkness
Psychic,Darkness,Fire,Metal,Water,Metal,Fire,Darkness
Fire,Lightning,Fire,Psychic,Colorless,Metal,Water,Lightning
Grass,Fire,Grass,Darkness,Fire,Darkness,Darkness,Fire
Lightning,Fighting,Lightning,Grass,Psychic,Fire,Grass,Fighting
Psychic,Darkness,Water,Psychic,Fighting,Colorless,Fire,Darkness
Grass,Fire,Psychic,Colorless,Psychic,Metal,Colorless,Fire
Metal,Fire,Darkness,Water,Fire,Fighting,Lightning,Fire
Darkness,Fighting,Colorless,Grass,Fighting,Grass,Darkness,Fighting
Fire,Water,Water,Fire,Lightning,Metal,Metal,Water
Grass,Fire,Psychic,Darkness,Water,Colorless,Metal,Fire
Grass,Fire,Lightning,Lightning,Water,Metal,Grass,Fire
Fighting,Psychic,Water,Psychic,Colorless,Fighting,Fighting,Psychic
Water,Metal,Darkness,Colorless,Darkness,Water,Fighting,Metal
Lightning,Fighting,Water,Psychic,Metal,Grass,Psychic,Fighting
Lightning,Fighting,Colorless,Lightning,Fighting,Psychic,Lightning,Fighting
Colorless,Fighting,Psychic,Grass,Metal,Fighting,Lightning,Fighting
Lightning,Lightning,Grass,Water,Water,Psychic,Fighting,Lightning
Fighting,Psychic,Darkness,Grass,Fighting,Lightning,Psychic,Psychic
Lightning,Fighting,Fire,Psychic,Metal,Psychic,Metal,Fighting
Colorless,Fighting,Grass,Darkness,Colorless,Fire,Lightning,Fighting
Psychic,Darkness,Grass,Metal,Water,Metal,Fighting,Darkness
Water,Lightning,Water,Colorless,Lightning,Psychic,Lightning,Lightning
Psychic,Darkness,Colorless,Fire,Metal,Psychic,Lightning,Darkness
Colorless,Fighting,Fire,Water,Grass,Colorless,Psychic,Fighting
Psychic,Darkness,Fighting,Colorless,Lightning,Lightning,Psychic,Darkness
Grass,Fire,Psychic,Fighting,Water,Water,Colorless,Fire
Colorless,Fighting,Grass,Darkness,Grass,Colorless,Psychic,Fighting
Colorless,Fighting,Psychic,Metal,Darkness,Fighting,Fire,Fighting
Water,Lightning,Fighting,Fighting,Colorless,Fire,Darkness,Lightning
Fire,Lightning,Colorless,Fire,Psychic,Darkness,Water,Lightning
Metal,Fire,Fighting,Psychic,Water,Fighting,Water,Fire
Lightning,Lightning,Fire,Darkness,Grass,Lightning,Fire,Lightning
Water,Lightning,Psychic,Water,Colorless,Lightning,Metal,Lightning
Psychic,Darkness,Psychic,Colorless,Grass,Lightning,Fighting,Darkness
Fire,Water,Grass,Metal,Metal,Water,Lightning,Water
Lightning,Fighting,Water,Colorless,Lightning,Grass,Water,Fighting
Fighting,Psychic,Darkness,Metal,Fire,Grass,Lightning,Psychic
Grass,Fire,Fire,Darkness,Fire,Colorless,Fighting,Fire
Grass,Fire,Psychic,Psychic,Colorless,Fighting,Metal,Fire
Colorless,Fighting,Fire,Colorless,Metal,Lightning,Metal,Fighting
Grass,Fire,Grass,Metal,Psychic,Metal,Metal,Fire
Colorless,Fighting,Metal,Metal,Darkness,Fire,Fire,Fighting
Fighting,Grass,Lightning,Colorless,Darkness,Lightning,Water,Grass
Water,Lightning,Grass,Metal,Psychic,Grass,Lightning,Lightning
Water,Lightning,Water,Lightning,Metal,Darkness,Darkness,Lightning
Fire,Water,Water,Water,Metal,Grass,Fire,Water
Psychic,Darkness,Darkness,Water,Grass,Fighting,Colorless,Darkness
Colorless,Fighting,Fire,Lightning,Lightning,Water,Water,Fighting
Colorless,Fighting,Fighting,Fire,Grass,Darkness,Fire,Fighting
Grass,Fire,Fire,Fire,Water,Metal,Fighting,Fire
Colorless,Fighting,Lightning,Lightning,Grass,Darkness,Water,Fighting
Water,Lightning,Darkness,Metal,Water,Psychic,Lightning,Lightning
Water,Lightning,Metal,Fire,Psychic,Grass,Fire,Lightning
Psychic,Darkness,Psychic,Metal,Lightning,Water,Metal,Darkness
Lightning,Fighting,Psychic,Darkness,Metal,Lightning,Fighting,Fighting
Water,Lightning,Fire,Fighting,Darkness,Psychic,Psychic,Lightning
Metal,Fire,Grass,Fighting,Fire,Water,Water,Fire
Fighting,Psychic,Fire,Lightning,Metal,Psychic,Lightning,Psychic
Lightning,Fighting,Lightning,Fire,Colorless,Water,Water,Fighting
Water,Lightning,Water,Psychic,Grass,Fighting,Darkness,Lightning
Fire,Lightning,Darkness,Lightning,Psychic,Colorless,Fighting,Lightning
Colorless,Fighting,Psychic,Grass,Psychic,Grass,Water,Fighting
Fire,Water,Water,Psychic,Grass,Water,Grass,Water
Water,Lightning,Lightning,Grass,Colorless,Colorless,Fighting,Lightning
Colorless,Fighting,Fire,Fire,Water,Psychic,Metal,Fighting
Water,Lightning,Lightning,Darkness,Lightning,Grass,Psychic,Lightning
Grass,Fire,Fire,Lightning,Colorless,Lightning,Grass,Fire
Colorless,Fighting,Metal,Water,Psychic,Fire,Lightning,Fighting
Water,Lightning,Fighting,Darkness,Metal,Lightning,Grass,Lightning
Water,Lightning,Metal,Darkness,Fire,Psychic,Lightning,Lightning
Colorless,Fighting,Metal,Grass,Grass,Psychic,Lightning,Fighting
Fire,Lightning,Metal,Water,Metal,Water,Lightning,Lightning
Fighting,Grass,Psychic,Fire,Water,Fighting,Grass,Grass
Water,Lightning,Fire,Grass,Darkness,Metal,Grass,Lightning
Lightning,Fighting,Fighting,Fire,Fighting,Lightning,Grass,Fighting
Colorless,Fighting,Grass,Fire,Grass,Water,Darkness,Fighting
Grass,Fire,Psychic,Fighting,Metal,Colorless,Fighting,Fire
Colorless,Fighting,Water,Darkness,Colorless,Lightning,Lightning,Fighting
Water,Lightning,Fire,Lightning,Metal,Grass,Lightning,Lightning
Grass,Fire,Water,Fire,Lightning,Colorless,Grass,Fire
Grass,Fire,Fire,Darkness,Colorless,Lightning,Lightning,Fire
Lightning,Fighting,Colorless,Water,Grass,Lightning,Colorless,Fighting
Psychic,Darkness,Grass,Fighting,Fighting,Colorless,Metal,Darkness
Psychic,Darkness,Lightning,Darkness,Psychic,Fighting,Colorless,Darkness
Colorless,Fighting,Lightning,Colorless,Colorless,Water,Fire,Fighting
Psychic,Darkness,Psychic,Metal,Fire,Psychic,Darkness,Darkness
Grass,Fire,Grass,Metal,Fighting,Metal,Fighting,Fire
Water,Lightning,Fighting,Water,Psychic,Fire,Water,Lightning
Psychic,Darkness,Fire,Psychic,Psychic,Darkness,Darkness,Darkness
Fire,Water,Colorless,Darkness,Fighting,Grass,Lightning,Water
Psychic,Metal,Colorless,Colorless,Colorless,Metal,Colorless,Metal
Colorless,Fighting,Metal,Lightning,Water,Lightning,Colorless,Fighting
Colorless,Fighting,Metal,Fire,Water,Water,Colorless,Fighting
Water,Lightning,Colorless,Metal,Metal,Metal,Darkness,Lightning
Fire,Water,Psychic,Psychic,Fire,Lightning,Colorless,Water
Psychic,Darkness,Water,Grass,Darkness,Water,Lightning,Darkness
Psychic,Metal,Colorless,Fire,Darkness,Grass,Water,Metal
Water,Lightning,Water,Water,Grass,Psychic,Colorless,Lightning
Water,Lightning,Metal,Lightning,Lightning,Colorless,Colorless,Lightning
Lightning,Fighting,Grass,Grass,Water,Fighting,Fire,Fighting
Fighting,Grass,Water,Colorless,Grass,Darkness,Darkness,Grass
Water,Lightning,Metal,Water,Water,Metal,Colorless,Lightning
Colorless,Fighting,Lightning,Grass,Fire,Water,Darkness,Fighting
Colorless,Fighting,Psychic,Metal,Metal,Psychic,Metal,Fighting
Colorless,Fighting,Grass,Water,Colorless,Fire,Grass,Fighting
Psychic,Darkness,Darkness,Darkness,Psychic,Grass,Metal,Darkness
Fighting,Psychic,Darkness,Fighting,Fighting,Psychic,Fire,Psychic
Psychic,Darkness,Psychic,Colorless,Colorless,Water,Lightning,Darkness
Water,Lightning,Grass,Psychic,Fighting,Grass,Colorless,Lightning
